0,timeStamp,rawAltitude,filteredAltitude,speed,message,
1,15561,0,-0.38,0.01,,
1,15662,-0.5,-0.39,0,,
1,15762,-0.2,-0.39,0,,
1,15861,0,-0.37,0,,
1,15962,-0.2,-0.35,0.01,,
1,16062,-0.3,-0.31,0.03,,
1,16162,-0.3,-0.27,0.03,,
1,16262,-0.69,-0.25,0.03,,
1,16362,-0.3,-0.24,0.02,,
1,16461,0,-0.24,0.01,,
1,16562,-0.5,-0.26,0,,
1,16662,-0.1,-0.28,0.01,,
1,16761,0,-0.29,0.01,,
1,16862,-0.3,-0.29,0.01,,
1,16962,-0.2,-0.28,0,,
1,17062,-0.2,-0.25,0.01,,
1,17162,-0.4,-0.24,0.02,,
1,17262,-0.3,-0.22,0.02,,
1,17362,-0.69,-0.23,0.01,,
1,17462,-0.1,-0.24,0,,
1,17562,-0.2,-0.26,0.01,,
1,17662,-0.3,-0.29,0.02,,
1,17762,-0.2,-0.31,0.02,,
1,17862,-0.3,-0.31,0.02,,
1,17963,-0.69,-0.32,0.01,,
1,18062,-0.3,-0.32,0.01,,
1,18162,-0.1,-0.32,0,,
1,18262,0,-0.32,0,,
1,18362,-0.3,-0.31,0,,
1,18462,-0.2,-0.29,0.01,,
1,18562,0.1,-0.26,0.02,,
1,18662,-0.3,-0.23,0.03,,
1,18762,-0.5,-0.2,0.03,,
1,18862,-0.1,-0.18,0.03,,
1,18962,-0.69,-0.18,0.02,,
1,19062,-0.79,-0.21,0,,
1,19162,-0.4,-0.26,0.03,,
1,19262,0,-0.31,0.05,,
1,19362,-0.79,-0.38,0.06,,
1,19462,-0.69,-0.44,0.06,,
1,19562,-0.1,-0.48,0.06,,
1,19662,-0.79,-0.51,0.04,,
1,19762,-0.79,-0.54,0.03,,
1,19862,-0.1,-0.54,0.02,,
1,19962,-0.3,-0.54,0.01,,
1,20062,-0.1,-0.52,0.01,,
1,20162,-0.5,-0.48,0.02,,
1,20262,-0.1,-0.43,0.03,,
1,20362,-0.2,-0.38,0.05,,
1,20462,-0.1,-0.32,0.06,,
1,20561,0,-0.26,0.06,,
1,20662,-0.1,-0.2,0.06,,
1,20762,-0.5,-0.16,0.05,,
1,20862,-0.2,-0.14,0.04,,
1,20962,-0.5,-0.14,0.02,,
1,21062,-0.2,-0.15,0,,
1,21163,-0.2,-0.19,0.02,,
1,21262,-0.59,-0.23,0.03,,
1,21362,-0.4,-0.28,0.04,,
1,21463,-0.69,-0.33,0.05,,
1,21562,-0.1,-0.37,0.05,,
1,21661,0,-0.39,0.04,,
1,21762,-0.5,-0.41,0.03,,
1,21862,-0.4,-0.41,0.01,,
1,21962,-0.4,-0.39,0,,
1,22062,-0.59,-0.37,0.01,,
1,22162,-0.2,-0.36,0.02,,
1,22262,-0.4,-0.36,0.01,,
1,22362,-0.3,-0.35,0.01,,
1,22462,-0.59,-0.36,0,,
1,22562,-0.1,-0.36,0,,
1,22662,-0.3,-0.36,0,,
1,22762,0,-0.35,0,,
1,22862,0.1,-0.33,0.01,,
1,22962,0.1,-0.28,0.03,,
1,23062,-0.59,-0.24,0.04,,
1,23162,-0.59,-0.19,0.04,,
1,23262,-0.3,-0.17,0.04,,
1,23362,-0.59,-0.17,0.02,,
1,23462,-0.5,-0.21,0.01,,
1,23562,0,-0.26,0.03,,
1,23662,-0.5,-0.32,0.05,,
1,23762,-0.59,-0.37,0.05,,
1,23862,-0.5,-0.41,0.05,,
1,23962,-0.4,-0.44,0.04,,
1,24062,-0.59,-0.47,0.03,,
1,24162,-0.3,-0.48,0.02,,
1,24262,0.1,-0.47,0.01,,
1,24363,-0.3,-0.45,0.01,,
1,24462,-0.5,-0.42,0.02,,
1,24561,0,-0.37,0.03,,
1,24663,-0.1,-0.31,0.05,,
1,24762,-0.3,-0.26,0.05,,
1,24862,-0.5,-0.23,0.05,,
1,24962,-0.4,-0.21,0.03,,
1,25062,-0.1,-0.2,0.02,,
1,25162,-0.3,-0.21,0,,
1,25262,-0.5,-0.24,0.01,,
1,25362,-0.3,-0.27,0.02,,
1,25462,-0.2,-0.29,0.03,,
1,25562,-0.4,-0.32,0.03,,
1,25662,-0.3,-0.33,0.02,,
1,25762,-0.3,-0.34,0.02,,
1,25862,0,-0.34,0.01,,
1,25962,-0.3,-0.32,0,,
1,26062,-0.2,-0.3,0.01,,
1,26162,-0.3,-0.27,0.02,,
1,26262,-0.3,-0.25,0.02,,
1,26362,-0.3,-0.23,0.02,,
1,26462,-0.3,-0.23,0.02,,
1,26562,-0.1,-0.23,0.01,,
1,26662,-0.3,-0.23,0,,
1,26762,-0.4,-0.24,0.01,,
1,26862,-0.3,-0.25,0.01,,
1,26962,-0.2,-0.26,0.01,,
1,27062,0,-0.27,0.01,,
1,27162,-0.3,-0.27,0.01,,
1,27262,0.2,-0.25,0,,
1,27362,-0.2,-0.23,0.01,,
1,27462,-0.4,-0.2,0.02,,
1,27563,-0.4,-0.18,0.03,,
1,27662,0,-0.16,0.02,,
1,27762,-0.3,-0.16,0.01,,
1,27863,-0.4,-0.17,0,,
1,27962,-0.1,-0.19,0.01,,
1,28062,0.2,-0.2,0.01,,
1,28162,-0.5,-0.21,0.01,,
1,28262,0,-0.21,0.01,,
1,28362,-0.79,-0.21,0.01,,
1,28462,0,-0.22,0,,
1,28562,-0.3,-0.22,0,,
1,28661,0,-0.23,0.01,,
1,28762,0.2,-0.23,0,,
1,28862,-0.1,-0.21,0,,
1,28962,0.3,-0.18,0.02,,
1,29062,0,-0.12,0.03,,
1,29162,0.49,-0.06,0.05,,
1,29262,-0.3,0.01,0.06,,
1,29362,-0.1,0.06,0.06,,
1,29462,0.1,0.1,0.05,,
1,29561,0,0.12,0.04,,
1,29662,-0.5,0.1,0.01,,
1,29762,-0.1,0.06,0.01,,
1,29861,0,0.01,0.03,,
1,29962,0.1,-0.04,0.05,,
1,30062,0.3,-0.08,0.05,,
1,30162,-0.69,-0.11,0.04,,
1,30262,0,-0.12,0.03,,
1,30362,0,-0.12,0.01,,
1,30462,0.1,-0.11,0,,
1,30562,0.39,-0.09,0.01,,
1,30662,0.3,-0.05,0.02,,
1,30763,0.1,0,0.04,,
1,30862,-0.1,0.05,0.05,,
1,30962,0.2,0.1,0.05,,
1,31063,-0.4,0.13,0.05,,
1,31162,0.1,0.14,0.03,,
1,31262,0.1,0.13,0.01,,
1,31362,0.3,0.1,0.01,,
1,31462,-0.2,0.07,0.02,,
1,31561,0,0.04,0.03,,
1,31662,-0.3,0.02,0.03,,
1,31762,-0.59,-0.02,0.03,,
1,31862,-0.2,-0.07,0.04,,
1,31962,-0.2,-0.12,0.04,,
1,32062,-0.2,-0.17,0.05,,
1,32162,-0.3,-0.22,0.05,,
1,32262,0.39,-0.25,0.04,,
1,32362,-0.1,-0.25,0.03,,
1,32462,-0.5,-0.24,0,,
1,32562,-0.3,-0.21,0.01,,
1,32662,-0.1,-0.18,0.02,,
1,32762,-0.5,-0.17,0.02,,
1,32862,-0.1,-0.17,0.01,,
1,32962,-0.2,-0.18,0,,
1,33062,-0.1,-0.19,0.01,,
1,33162,-0.4,-0.21,0.01,,
1,33262,-0.3,-0.23,0.02,,
1,33362,-0.2,-0.24,0.01,,
1,33462,-0.1,-0.24,0.01,,
1,33562,-0.5,-0.25,0.01,,
1,33662,-0.5,-0.26,0.01,,
1,33762,-0.2,-0.27,0.01,,
1,33862,-0.59,-0.29,0.01,,
1,33963,-0.89,-0.33,0.02,,
1,34062,-0.59,-0.37,0.03,,
1,34162,-0.5,-0.43,0.04,,
1,34262,-0.2,-0.48,0.05,,
1,34362,-0.69,-0.52,0.05,,
1,34462,-0.3,-0.55,0.04,,
1,34562,-0.59,-0.56,0.03,,
1,34662,0.1,-0.54,0.01,,
1,34762,-0.5,-0.51,0.02,,
1,34862,-0.5,-0.47,0.03,,
1,34962,0.1,-0.41,0.04,,
1,35062,-0.1,-0.35,0.05,,
1,35162,-0.2,-0.3,0.06,,
1,35262,-0.79,-0.26,0.05,,
1,35362,-0.59,-0.24,0.04,,
1,35462,-0.4,-0.24,0.02,,
1,35562,-0.4,-0.27,0.01,,
1,35662,-0.1,-0.32,0.03,,
1,35762,-0.4,-0.36,0.04,,
1,35862,-0.59,-0.4,0.04,,
1,35962,-0.59,-0.42,0.04,,
1,36062,-0.79,-0.45,0.03,,
1,36162,-0.98,-0.48,0.03,,
1,36262,-0.4,-0.52,0.03,,
1,36362,-1.08,-0.57,0.04,,
1,36462,-1.08,-0.64,0.05,,
1,36562,-0.89,-0.71,0.06,,
1,36662,-0.69,-0.77,0.07,,
1,36762,-0.4,-0.82,0.06,,
1,36862,-0.69,-0.85,0.05,,
1,36962,-0.59,-0.85,0.02,,
1,37062,-0.1,-0.81,0.01,,
1,37163,-0.59,-0.74,0.04,,
1,37262,-0.4,-0.66,0.06,,
1,37362,-0.79,-0.58,0.08,,
1,37463,-0.5,-0.51,0.08,,
1,37562,-0.89,-0.47,0.06,,
1,37662,-0.89,-0.47,0.04,,
1,37762,-0.3,-0.49,0.01,,
1,37862,-0.4,-0.53,0.02,,
1,37962,-0.4,-0.57,0.03,,
1,38062,-0.5,-0.59,0.03,,
1,38162,-0.79,-0.59,0.02,,
1,38262,-0.1,-0.58,0.01,,
1,38362,-0.3,-0.55,0.01,,
1,38462,-0.2,-0.51,0.03,,
1,38562,-0.1,-0.46,0.04,,
1,38662,-0.5,-0.4,0.05,,
1,38762,0.1,-0.33,0.06,,
1,38862,-0.3,-0.27,0.06,,
1,38962,-0.79,-0.24,0.05,,
1,39062,-0.4,-0.23,0.04,,
1,39162,0.1,-0.22,0.02,,
1,39262,-0.59,-0.25,0,,
1,39362,-0.3,-0.28,0.02,,
1,39462,0.1,-0.3,0.03,,
1,39562,-0.3,-0.31,0.02,,
1,39662,-0.59,-0.32,0.01,,
1,39762,-0.4,-0.32,0.01,,
1,39862,0.2,-0.31,0,,
1,39962,-0.1,-0.29,0.01,,
1,40062,-0.3,-0.27,0.02,,
1,40162,-0.2,-0.24,0.02,,
1,40262,0,-0.21,0.03,,
1,40363,-0.59,-0.19,0.03,,
1,40462,-0.4,-0.18,0.02,,
1,40562,-0.59,-0.19,0.01,,
1,40663,-0.1,-0.22,0.01,,
1,40762,-0.4,-0.26,0.03,,
1,40862,-0.3,-0.3,0.04,,
1,40962,-0.59,-0.34,0.04,,
1,41062,0.1,-0.37,0.04,,
1,41162,-0.4,-0.37,0.02,,
1,41262,-0.5,-0.38,0.01,,
1,41362,-0.79,-0.38,0,,
1,41462,-0.2,-0.37,0,,
1,41562,-0.3,-0.37,0,,
1,41662,-0.3,-0.38,0,,
1,41762,0.1,-0.37,0,,
1,41862,-0.5,-0.36,0,,
1,41962,-0.5,-0.35,0.01,,
1,42062,-0.4,-0.33,0.02,,
1,42162,-0.4,-0.32,0.02,,
1,42262,-0.4,-0.32,0.01,,
1,42362,-0.59,-0.33,0,,
1,42462,-0.89,-0.37,0.02,,
1,42562,-0.4,-0.41,0.03,,
1,42662,-0.59,-0.46,0.04,,
1,42762,-0.5,-0.51,0.05,,
1,42862,-0.3,-0.54,0.05,,
1,42962,-0.4,-0.56,0.04,,
1,43062,-0.2,-0.56,0.02,,
1,43162,-0.2,-0.52,0.01,,
1,43262,0.1,-0.47,0.03,,
1,43362,-0.4,-0.4,0.05,,
1,43462,-0.4,-0.33,0.07,,
1,43561,0,-0.26,0.07,,
1,43662,-0.1,-0.2,0.07,,
1,43762,0.1,-0.16,0.06,,
1,43863,-0.3,-0.13,0.04,,
1,43962,-0.79,-0.12,0.03,,
1,44062,-0.2,-0.13,0.01,,
1,44162,-0.5,-0.16,0.01,,
1,44262,-0.1,-0.21,0.03,,
1,44362,-0.79,-0.27,0.05,,
1,44462,-0.4,-0.33,0.06,,
1,44562,-0.59,-0.39,0.06,,
1,44662,-0.69,-0.44,0.06,,
1,44762,-0.2,-0.49,0.05,,
1,44862,0,-0.5,0.04,,
1,44962,-0.4,-0.5,0.02,,
1,45062,-0.1,-0.48,0,,
1,45162,-0.69,-0.43,0.02,,
1,45262,-0.5,-0.39,0.04,,
1,45362,-0.4,-0.35,0.04,,
1,45462,-0.4,-0.34,0.03,,
1,45562,0.2,-0.33,0.02,,
1,45662,-0.4,-0.32,0.01,,
1,45762,-0.2,-0.31,0.01,,
1,45862,-0.59,-0.3,0.01,,
1,45962,-0.2,-0.3,0.01,,
1,46062,-0.2,-0.29,0.01,,
1,46162,-0.5,-0.29,0,,
1,46262,-0.59,-0.3,0,,
1,46362,-0.5,-0.32,0.01,,
1,46462,-0.1,-0.34,0.02,,
1,46562,-0.3,-0.36,0.02,,
1,46662,0.1,-0.37,0.02,,
1,46763,-0.1,-0.36,0.01,,
1,46862,-0.69,-0.34,0.01,,
1,46962,-0.2,-0.3,0.02,,
1,47063,-0.3,-0.27,0.03,,
1,47162,-0.3,-0.25,0.03,,
1,47262,-0.2,-0.25,0.02,,
1,47362,-0.1,-0.24,0.01,,
1,47462,0,-0.24,0.01,,
1,47562,-0.4,-0.23,0.01,,
1,47662,-0.5,-0.23,0,,
1,47762,0.3,-0.22,0.01,,
1,47861,0,-0.2,0.01,,
1,47962,-0.2,-0.19,0.01,,
1,48062,-0.69,-0.17,0.01,,
1,48162,-0.2,-0.17,0.01,,
1,48262,-0.2,-0.17,0.01,,
1,48362,-0.2,-0.19,0,,
1,48462,-0.2,-0.21,0.01,,
1,48562,0,-0.22,0.02,,
1,48662,-0.4,-0.24,0.02,,
1,48762,-0.1,-0.24,0.01,,
1,48862,-0.59,-0.24,0,,
1,48962,-0.5,-0.25,0,,
1,49062,-0.69,-0.27,0.01,,
1,49162,-0.5,-0.3,0.02,,
1,49262,-0.5,-0.35,0.04,,
1,49362,-0.69,-0.42,0.05,,
1,49462,-0.69,-0.48,0.06,,
1,49562,0.2,-0.52,0.06,,
1,49662,-0.1,-0.54,0.04,,
1,49762,-0.2,-0.52,0.01,,
1,49862,-0.5,-0.48,0.01,,
1,49963,-0.5,-0.42,0.04,,
1,50062,0.1,-0.35,0.06,,
1,50162,-0.5,-0.3,0.06,,
1,50263,-0.5,-0.26,0.05,,
1,50362,-0.69,-0.26,0.03,,
1,50462,-0.4,-0.27,0.01,,
1,50562,-0.69,-0.31,0.02,,
1,50662,-0.4,-0.37,0.04,,
1,50762,-0.79,-0.44,0.05,,
1,50862,-0.89,-0.51,0.06,,
1,50962,-0.5,-0.57,0.07,,
1,51062,-0.4,-0.62,0.06,,
1,51162,-0.69,-0.65,0.05,,
1,51262,-0.4,-0.67,0.03,,
1,51362,-0.79,-0.66,0.01,,
1,51462,-0.2,-0.64,0.01,,
1,51562,-0.2,-0.6,0.02,,
1,51662,-0.69,-0.55,0.04,,
1,51762,-0.89,-0.52,0.04,,
1,51862,-0.1,-0.48,0.04,,
1,51962,-0.1,-0.45,0.03,,
1,52062,-0.5,-0.43,0.03,,
1,52162,-0.4,-0.41,0.02,,
1,52262,-0.2,-0.39,0.02,,
1,52362,-0.5,-0.37,0.02,,
1,52462,-0.4,-0.36,0.02,,
1,52562,-0.5,-0.36,0.01,,
1,52662,-0.4,-0.36,0,,
1,52762,-0.5,-0.37,0,,
1,52862,-0.2,-0.39,0.01,,
1,52962,-0.4,-0.4,0.01,,
1,53062,-0.3,-0.4,0.01,,
1,53163,-0.3,-0.4,0.01,,
1,53262,-0.2,-0.39,0,,
1,53362,-0.5,-0.37,0.01,,
1,53463,-0.59,-0.36,0.01,,
1,53562,-0.3,-0.35,0.01,,
1,53662,-0.3,-0.34,0.01,,
1,53762,-0.4,-0.35,0,,
1,53862,-0.5,-0.36,0,,
1,53962,-0.5,-0.37,0.01,,
1,54062,-0.2,-0.39,0.01,,
1,54162,-0.3,-0.39,0.01,,
1,54262,-0.4,-0.4,0.01,,
1,54362,-0.2,-0.39,0,,
1,54462,-0.4,-0.38,0.01,,
1,54562,-0.3,-0.36,0.01,,
1,54662,0,-0.34,0.02,,
1,54762,-0.2,-0.31,0.02,,
1,54862,-0.4,-0.28,0.03,,
1,54962,-0.4,-0.26,0.03,,
1,55062,-0.59,-0.25,0.02,,
1,55162,-0.2,-0.26,0.01,,
1,55262,-0.4,-0.27,0,,
1,55362,-0.1,-0.3,0.02,,
1,55462,-0.3,-0.32,0.02,,
1,55562,-0.5,-0.33,0.02,,
1,55662,-0.5,-0.35,0.02,,
1,55762,-0.59,-0.36,0.01,,
1,55862,-0.2,-0.37,0.01,,
1,55962,-0.59,-0.39,0.01,,
1,56062,-0.69,-0.41,0.02,,
1,56162,-0.1,-0.43,0.02,,
1,56262,-0.59,-0.45,0.02,,
1,56363,-0.59,-0.47,0.02,,
1,56462,-0.2,-0.47,0.01,,
1,56562,0,-0.46,0,,
1,56663,-0.3,-0.44,0.01,,
1,56762,-0.69,-0.41,0.02,,
1,56862,-0.3,-0.38,0.03,,
1,56962,-0.3,-0.35,0.03,,
1,57062,-0.5,-0.33,0.03,,
1,57162,-0.4,-0.33,0.02,,
1,57262,-0.5,-0.34,0,,
1,57362,-0.59,-0.36,0.01,,
1,57462,-0.5,-0.39,0.02,,
1,57562,0,-0.41,0.02,,
1,57662,-0.59,-0.43,0.02,,
1,57762,-0.59,-0.45,0.02,,
1,57862,-0.2,-0.45,0.01,,
1,57962,-0.4,-0.45,0,,
1,58062,-0.3,-0.44,0.01,,
1,58162,-0.59,-0.42,0.01,,
1,58262,0.2,-0.4,0.02,,
1,58362,-0.4,-0.37,0.02,,
1,58462,-0.4,-0.34,0.03,,
1,58562,-0.1,-0.31,0.03,,
1,58662,-0.3,-0.28,0.03,,
1,58762,-0.3,-0.26,0.03,,
1,58862,-0.5,-0.25,0.02,,
1,58962,-0.98,-0.27,0,,
